City,MMType,Operator,SType,Note,Link,seq,try,var_names,notes
DCA,B,CapitalBikes,Hybrid,GBFS,https://gbfs.capitalbikeshare.com/gbfs/gbfs.json,,Y,,Could be the same as Lyft
DCA,S,Bird,Dockless,,https://gbfs.bird.co/dc,data/bikes,Y,bike_id/lat/lon/vehicle_type/is_disabled/is_reserved,"Uses t/f, has battery level"
DCA,BS,Bolt,Dockless,,https://api-lb.micromobility.com/dc/gbfs/en/gbfs.json,data,N,,"Links are messed up, but doesn't have any data in it (no longer in DC)"
DCA,BS,Jump/Lime,Hybrid,GBFS,https://data.lime.bike/api/partners/v1/gbfs/washington_dc/gbfs.json,,Y,,Station data is kind of messed up
DCA,BS,Lyft,Hybrid,GBFS,https://s3.amazonaws.com/lyft-lastmile-production-iad/lbs/dca/gbfs.json,data,Y,,"Could be the same as CapitalBikes, but also has scooters"
DCA,S,Helbiz,Dockless,GBFS,https://api.helbiz.com/admin/reporting/washington/gbfs/gbfs.json,,Y,bike_id/lat/lon/vehicle_type/is_disabled/is_reserved,
DCA,S,Razor,Dockless,,https://razorapi.net/api/v1/gbfs/Washington%20DC/gbfs.json,,N,,Link is broken
DCA,S,Skip,Dockless,,https://us-central1-waybots-production.cloudfunctions.net/ddotApi-dcFreeBikeStatus,,N,,Don't have permission to access
DCA,S,Spin,Dockless,GBFS,https://gbfs.spin.pm/api/gbfs/v1/washington_dc/gbfs.json,data,Y,,
BOS,B,BlueBike,Dock,GBFS,http://gbfs.bluebikes.com/gbfs/gbfs.json,data,N,,Their feed is empty. They publish quarterly trip counts here: https://www.bluebikes.com/system-data
AUS,B,Wheels,Dockless,GBFS,https://austin-gbfs.getwheelsapp.com/gbfs.json,,Y,,
AUS,S,Ojo,Dockless,GBFS,https://api.ojoelectric.com/api/mds/gbfs.json,,N,,
AUS,S,Spin,Dockless,GBFS,https://gbfs.spin.pm/api/gbfs/v2_2/austin/gbfs,,Y,,
AUS,B,B_Cycle,Dock,GBFS,https://gbfs.bcycle.com/bcycle_austin/gbfs.json,,Y,,
AUS,S,Link,Dockless,GBFS,https://wrangler-mds-production.herokuapp.com/gbfs/Austin/gbfs.json,,Y,,
AUS,BS,City_of_AUS,Trips,,https://data.austintexas.gov/resource/7d8e-dm7r.json,data,N,,Original Austin Feed; broken
MSP,B,Nice_Ride,Hybrid,GBFS,https://gbfs.niceridemn.com/gbfs/gbfs.json,data,N,,Empty stations and no free bikes
LAX,B,Metro_Bike,Hybrid,GBFS,https://gbfs.bcycle.com/bcycle_lametro/gbfs.json,,Y,,There is one ff bike in the system
LAX,B,City_of_LA,Trips,,https://data.lacity.org/resource/sii9-rjps.json,data,N,,"LA is collecting the data, can be downloaded
https://data.lacity.org/Transportation/Monthly-Dockless-Vehicles-Deployment-By-Census-Blo/j5g7-w4y7"
LAX,BS,City_of_LA,ODs,,https://data.lacity.org/resource/d7jk-ufat.json,data,N,,"LA is collecting the data, can be downloaded
https://data.lacity.org/Transportation/Monthly-Dockless-Vehicles-Trip-Start-By-Census-Blo/d7jk-ufat"
CHI,B,Divy,Hybrid,GBFS,https://gbfs.divvybikes.com/gbfs/gbfs.json,data,Y,,
CHI,BS,City_of_CHI,Trips,,https://data.cityofchicago.org/resource/2kfw-zvte.json,data,N,,"CHI is collecting the data, can be downloaded
https://data.cityofchicago.org/browse?q=scooter&sortBy=relevance"
DEN,BS,Lyft,Hybrid,GBFS,https://s3.amazonaws.com/lyft-lastmile-production-iad/lbs/den/gbfs.json,,Y,,
DEN,S,Spin,Dockless,GBFS,https://gbfs.spin.pm/api/gbfs/v2_2/denver/gbfs,,Y,,
SFO,B,Baywheels,Hybrid,GBFS,https://gbfs.baywheels.com/gbfs/gbfs.json,,Y,,
SFO,BS,Bird,Dockless,GBFS,https://mds.bird.co/gbfs/v2/public/san-francisco/gbfs.json,,N,,
SFO,S,Lime,Hybrid,GBFS,https://data.lime.bike/api/partners/v1/gbfs/san_francisco/gbfs.json,,Y,,
SFO,S,Spin,Dockless,GBFS,https://gbfs.spin.pm/api/gbfs/v2_2/san_francisco/gbfs,,Y,,